model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid_1_AutoML_1_20250524_05956_model_215,0.6682112976648105,0.6282463359676224,0.546238891926002,0.3906005043166005,0.4684051214886227,0.2194033578367713
GBM_grid_1_AutoML_1_20250524_05956_model_65,0.6680833716961092,0.6262312679789757,0.5496177528872239,0.3970509460665918,0.4675377924885203,0.2185915874050386
GBM_grid_1_AutoML_1_20250524_05956_model_27,0.6680619305830451,0.6272865231525221,0.5462318823624877,0.39767562118418,0.467853716822165,0.2188871003443145
GBM_grid_1_AutoML_1_20250524_05956_model_114,0.6680440029296848,0.6274399762876546,0.551019197474021,0.402768606246571,0.4680343869277138,0.2190561873468009
GBM_3_AutoML_1_20250524_05956,0.6680315706876562,0.6271195049923163,0.5555885053602666,0.3940484695279441,0.4676621953735513,0.2187079289816096
GBM_grid_1_AutoML_1_20250524_05956_model_168,0.6679867065099003,0.6283526666773754,0.548646311543086,0.3893920543559243,0.4683334203877302,0.2193361926520704
GBM_grid_1_AutoML_1_20250524_05956_model_151,0.6679774273727339,0.6291092770798609,0.5508724363964606,0.3928080380750925,0.4686275262251776,0.2196117583359295
GBM_grid_1_AutoML_1_20250524_05956_model_176,0.6678322944603552,0.6274942125832809,0.552344419092486,0.3988556932010951,0.4678601168704263,0.2188930889580089
GBM_grid_1_AutoML_1_20250524_05956_model_9,0.6677995021697866,0.6278208844685679,0.5447488776060228,0.4064365680885969,0.4680728329237002,0.2190921769212181
GBM_grid_1_AutoML_1_20250524_05956_model_104,0.6677747277744395,0.6280097302823086,0.5504152810592041,0.4011590813474027,0.4681398219425677,0.2191548928884189
GBM_grid_1_AutoML_1_20250524_05956_model_270,0.6677625657985419,0.6270265742128739,0.5510450162732098,0.4063425154749882,0.4677280498165382,0.2187695285851821
GBM_grid_1_AutoML_1_20250524_05956_model_271,0.6677598631372312,0.6281872779521762,0.5425537614323707,0.3753748816459568,0.4684667385471041,0.2194610851249608
GBM_grid_1_AutoML_1_20250524_05956_model_212,0.6677145485159236,0.6278340740902892,0.5495349477615412,0.3900592513447992,0.4681223093552565,0.2191384965160985
GBM_grid_1_AutoML_1_20250524_05956_model_75,0.6677140079836615,0.6272860981645335,0.5489937824110906,0.3949853921156163,0.467897776637209,0.2189283293820435
GBM_grid_1_AutoML_1_20250524_05956_model_113,0.6676158112893766,0.6280554556426357,0.5481889596426528,0.4025893297129683,0.4681027995346423,0.2191202309321695
GBM_grid_1_AutoML_1_20250524_05956_model_129,0.6675886945875603,0.6277033998660926,0.5485858755420348,0.3926554277997544,0.4681197309856691,0.2191360825380952
GBM_grid_1_AutoML_1_20250524_05956_model_158,0.6674663541189009,0.6290401882323898,0.5541241795551529,0.4056824354942312,0.4685964293771859,0.219582613625048
GBM_grid_1_AutoML_1_20250524_05956_model_120,0.667425814199242,0.6271244361719933,0.5489429394046927,0.4153856202202309,0.467844199555235,0.2188781950574785
GBM_grid_1_AutoML_1_20250524_05956_model_90,0.6674013100700259,0.6275179071283271,0.5463791623378687,0.4134318663588035,0.468085833523463,0.2191043475453551
GBM_grid_1_AutoML_1_20250524_05956_model_123,0.6673894183602593,0.6286008105376136,0.5505674552656832,0.4010454794836475,0.4684794524504915,0.2194729973683124
GBM_grid_1_AutoML_1_20250524_05956_model_263,0.6673868057876591,0.6270151526440815,0.5456582754944375,0.3987332626437253,0.4678598957794762,0.2188928820787823
GBM_grid_1_AutoML_1_20250524_05956_model_259,0.6673045547951068,0.6281609997951658,0.5531295781598746,0.3973171582056851,0.4680603450736741,0.2190804866304869
GBM_grid_1_AutoML_1_20250524_05956_model_125,0.6671705027941013,0.6274018028264144,0.5465851713937276,0.387379652744057,0.4680363368135527,0.2190580125778493
GBM_grid_1_AutoML_1_20250524_05956_model_28,0.6670787924869619,0.6274520682235863,0.5520618261920296,0.4169437044657874,0.4679549974453559,0.218981879634083
GBM_grid_1_AutoML_1_20250524_05956_model_128,0.6670499640996489,0.6276956598564585,0.5489777343400902,0.3900060089169805,0.4682363529207776,0.219245282196551
GBM_grid_1_AutoML_1_20250524_05956_model_153,0.6670092440025693,0.6279847301262798,0.5468938970790602,0.4000783771780072,0.4682953952559747,0.2193005772179495
GBM_grid_1_AutoML_1_20250524_05956_model_233,0.6669915866153402,0.6269618072541469,0.549544883495428,0.3993365867369599,0.4679277556724426,0.2189563845286492
